"state","date","coal","conventional_hydroelectric","natural_gas","nuclear","other","other_gases","other_renewables_(total)","petroleum_coke","petroleum_liquids","renewables"
"NC","2020-12-01",20.9229054654239,4.49893960169772,34.3664787256544,32.9935371291525,0.347388963778046,0,6.81934484696235,0,0.0514052673310911,11.3182844486601
"NC","2021-01-01",19.3262415824363,4.79294920309314,35.2166392761924,33.5179201813293,0.31812712792967,0,6.74710308220123,0,0.0810195468179014,11.5400522852944
"NC","2021-02-01",25.2976916681494,4.89347347413852,29.8690074306847,31.659428686178,0.274018348360861,0,7.44883584461335,0,0.557544547875213,12.3423093187519
"NC","2021-03-01",14.3139053245589,6.22712539204127,32.9791627039323,34.7841184537175,0.342486480887095,0,11.353201644863,0,0,17.5803270369042
"NC","2021-04-01",15.1897948664489,5.80370014736377,25.8734290776557,38.6471011739855,0.214721443536469,0,14.2204586684465,0,0.0507946225631872,20.0241588158102
"NC","2021-05-01",17.5075240435342,4.95115073597437,30.4481234086687,32.8246449849063,0.250202997605558,0,13.929872304855,0,0.088481524455801,18.8810230408294
"NC","2021-06-01",20.8468332754262,4.03698456580546,32.9474221810515,31.1621184400926,0.00105127393670519,0,10.9292659810247,0,0.0763242826627378,14.9662505468302
"NC","2021-07-01",17.8978610381537,3.74349070689979,38.9530199562289,29.3356174987065,0.159721308352444,0,9.84998130189786,0,0.0603081897608109,13.5934720087976
"NC","2021-08-01",20.6026771036208,3.75502499171616,37.5457805473813,28.3890312864659,0.153886530147138,0,9.3517053527932,0,0.20189418787553,13.1067303445094
"ND","2001-01-01",93.9857979982834,5.6937426633352,0.00647098834167836,0,0,0.135200031700572,0.0233755365376359,0,0.155412781801545,5.71711819987283
"ND","2001-02-01",94.4471099144344,5.13246192356228,0.00648465087117107,0,0,0.188015092129782,0.0258590372163264,0,0.200069381786008,5.1583209607786
"ND","2001-03-01",95.4874890769396,4.11439301608045,0.00825153350289863,0,0,0.197070408253912,0.0229704851567178,0,0.169825480066414,4.13736350123717
"ND","2001-04-01",95.1928203843013,4.36169431325697,0.00734553844957288,0,0,0.232421478354427,0.0251044578776579,0,0.180613827760086,4.38679877113463
